Id|Array ID|Date In|Date Out|Version Label|Status|Time Open
7|1|2022-12-23 12:33:00|2022-12-29 00:33:00|4|Pending Coordination Team Closure|5
7|2|2022-12-29 00:33:00||16|Transfer - Action to Enterprise|580
8|1|2024-01-15 14:57:00|2024-02-18 14:57:00|6|Active Management|34
8|2|2024-02-18 14:57:00|2024-03-27 20:57:00|10|Intake|38
8|3|2024-03-27 20:57:00||12|Coordinating with Enterprise|126
9|1|2022-08-12 14:04:00|2022-08-27 16:04:00|2|Duplicate/Related To|15
9|2|2022-08-27 16:04:00||11|Resolved - Action to Enterprise to Validate|704
10|1|2024-03-18 10:06:00|2024-04-06 14:06:00|4|Pending Coordination Team Closure|19
10|2|2024-04-06 14:06:00||16|Council|116
11|1|2024-05-17 15:25:00||4|Council|75
12|1|2022-08-14 10:33:00||6|Intake Pending|717
14|1|2023-07-17 11:25:00|2023-08-01 19:25:00|4|Council|15
14|2|2023-08-01 19:25:00|2023-09-07 20:25:00|6|Monitored|37
14|3|2023-09-07 20:25:00|2023-10-21 07:25:00|12|Issue Engagement|43
14|4|2023-10-21 07:25:00||13|Non Coordination Team Issue|284
15|1|2024-04-17 08:09:00||2|Open|105
16|1|2022-12-20 16:11:00||6|Archived|589
17|1|2024-01-15 12:40:00||8|Resolved/Completed|198
18|1|2023-05-03 11:58:00|2023-06-07 23:58:00|1|Duplicate/Related To|35
18|2|2023-06-07 23:58:00|2023-06-27 11:58:00|2|Sent to Region Hub|19
18|3|2023-06-27 11:58:00||7|Enterprise Input/Action|400
19|1|2024-01-07 13:30:00|2024-01-23 23:30:00|2|Coordination Team Intake|16
19|2|2024-01-23 23:30:00|2024-02-13 02:30:00|10|Issue Engagement|20
19|3|2024-02-13 02:30:00||20|Pending Pre-Closure|169
20|1|2022-06-11 10:10:00|2022-07-25 17:10:00|8|Enterprise Input/Action|44
20|2|2022-07-25 17:10:00|2022-08-18 02:10:00|12|Resolved/Completed|23
20|3|2022-08-18 02:10:00|2022-09-29 14:10:00|15|Enterprise Input/Action|42
20|4|2022-09-29 14:10:00||18|Pending Acceptance|671
21|1|2023-07-30 10:40:00||4|Solution Implementation|367
22|1|2023-05-17 10:20:00|2023-06-22 15:20:00|2|System Integration Office Input/Action|36
22|2|2023-06-22 15:20:00|2023-07-14 23:20:00|8|Duplicate/Related To|22
22|3|2023-07-14 23:20:00||18|Pending Coordination Team Closure|383
23|1|2023-01-13 16:23:00|2023-02-20 18:23:00|2|Pending Closure|38
23|2|2023-02-20 18:23:00|2023-03-10 04:23:00|11|Transfer - Action to Enterprise|17
23|3|2023-03-10 04:23:00||20|Coordinating with Other (Described in Exec Sum)|509
25|1|2023-02-22 13:02:00|2023-03-10 19:02:00|7|Resolved/Completed|16
25|2|2023-03-10 19:02:00|2023-03-16 19:02:00|13|Intake|6
25|3|2023-03-16 19:02:00||18|Coordinating with Council|503
26|1|2022-09-18 16:35:00|2022-10-24 04:35:00|6|Active Management|35
26|2|2022-10-24 04:35:00||15|Awaiting Information Response|646
27|1|2023-03-04 09:53:00|2023-03-07 15:53:00|6|Pending Coordination Team Closure|3
27|2|2023-03-07 15:53:00|2023-04-12 20:53:00|16|Intake|36
27|3|2023-04-12 20:53:00||23|Issue Engagement|476
28|1|2023-07-22 09:28:00|2023-08-10 20:28:00|8|Closed|19
28|2|2023-08-10 20:28:00|2023-08-15 22:28:00|18|Issue on Hold|5
28|3|2023-08-15 22:28:00||24|Non Coordination Team Issue|351
29|1|2023-01-07 09:53:00|2023-01-29 12:53:00|6|Enterprise Input/Action|22
29|2|2023-01-29 12:53:00|2023-03-10 22:53:00|17|Open|40
29|3|2023-03-10 22:53:00|2023-04-09 02:53:00|18|Resolved - Action to Enterprise to Validate|29
29|4|2023-04-09 02:53:00||30|Informatics Analysis|479
30|1|2022-09-12 10:48:00|2022-09-18 11:48:00|2|Sent to Region Hub|6
30|2|2022-09-18 11:48:00|2022-10-04 12:48:00|7|Coordination Team Intake|16
30|3|2022-10-04 12:48:00||14|Pending Acceptance|666
31|1|2022-10-28 13:19:00|2022-11-27 17:19:00|1|Coordination Team Intake|30
31|2|2022-11-27 17:19:00||13|Issue Engagement|612
32|1|2024-07-06 13:37:00|2024-07-09 14:37:00|4|Sent to Region Hub|3
32|2|2024-07-09 14:37:00||9|Issue Engagement|22
33|1|2022-08-04 10:27:00||4|Pending Pre-Closure|727
34|1|2024-02-03 08:36:00|2024-03-14 11:36:00|2|Issue on Hold|40
34|2|2024-03-14 11:36:00|2024-03-27 16:36:00|6|Duplicate/Related To|13
34|3|2024-03-27 16:36:00||12|Pending Pre-Closure|126
35|1|2023-05-20 15:55:00||5|Issue Engagement|438
36|1|2024-01-22 08:49:00|2024-03-03 15:49:00|2|Archived|41
36|2|2024-03-03 15:49:00|2024-04-09 22:49:00|5|Resolved/Completed|37
36|3|2024-04-09 22:49:00||17|Pending Acceptance|113
37|1|2023-07-15 12:22:00|2023-08-13 16:22:00|4|Issue on Hold|29
37|2|2023-08-13 16:22:00|2023-09-02 04:22:00|13|Monitored|19
37|3|2023-09-02 04:22:00||19|Pending Pre-Closure|333
38|1|2022-08-20 11:42:00|2022-09-19 17:42:00|5|Issue Engagement|30
38|2|2022-09-19 17:42:00|2022-10-30 02:42:00|16|Resolved - Action to Enterprise to Validate|40
38|3|2022-10-30 02:42:00||17|Pending Implementation|640
39|1|2023-04-19 09:34:00|2023-04-27 11:34:00|6|Non Coordination Team Issue|8
39|2|2023-04-27 11:34:00|2023-06-04 13:34:00|11|Archived|38
39|3|2023-06-04 13:34:00||18|Deleted/Error|423
40|1|2024-07-05 11:34:00||6|Open|26
41|1|2022-06-10 15:22:00|2022-06-25 15:22:00|7|Informatics Analysis|15
41|2|2022-06-25 15:22:00|2022-08-09 00:22:00|12|Resolved/Completed|44
41|3|2022-08-09 00:22:00||19|Solution Implementation|722
42|1|2024-07-29 10:27:00|2024-07-31 23:59:59|8|Issue on Hold|2
42|2|2024-07-31 23:59:59||13|Intake Pending|0
43|1|2024-05-03 15:18:00|2024-05-16 21:18:00|3|Coordination Team Intake|13
43|2|2024-05-16 21:18:00||11|Closed|76
44|1|2024-04-22 08:05:00||4|Council|100
45|1|2024-02-09 13:35:00|2024-02-19 19:35:00|4|Archived|10
45|2|2024-02-19 19:35:00||14|Monitored|163
46|1|2022-11-25 15:30:00|2023-01-03 16:30:00|4|Open|39
46|2|2023-01-03 16:30:00|2023-01-16 19:30:00|16|Monitored|13
46|3|2023-01-16 19:30:00||20|Active Plan Development|562
47|1|2024-01-05 11:51:00|2024-02-08 15:51:00|8|Monitored|34
47|2|2024-02-08 15:51:00||12|Open|174
48|1|2023-12-27 09:28:00||1|Awaiting Information Response|217
49|1|2022-06-23 15:11:00|2022-07-11 03:11:00|7|Pending Coordination Team Closure|17
49|2|2022-07-11 03:11:00||19|Project Plan Review|751
50|1|2022-07-31 13:03:00|2022-08-12 21:03:00|7|Pending Coordination Team Closure|12
50|2|2022-08-12 21:03:00||11|Coordinating with Enterprise|719
51|1|2023-07-29 11:24:00|2023-09-07 14:24:00|7|Intake|40
51|2|2023-09-07 14:24:00||12|Coordinating with Council|328
52|1|2022-11-04 10:11:00|2022-12-08 17:11:00|4|Intake|34
52|2|2022-12-08 17:11:00||11|Monitored|601
53|1|2022-05-15 15:46:00|2022-05-28 17:46:00|5|Closed|13
53|2|2022-05-28 17:46:00|2022-07-02 17:46:00|16|Transfer - Action to Enterprise|35
53|3|2022-07-02 17:46:00||28|Coordinating with Council|760
54|1|2023-09-04 16:25:00||6|Coordinating with Council|331
55|1|2022-05-12 14:22:00|2022-05-20 15:22:00|6|System Integration Office Input/Action|8
55|2|2022-05-20 15:22:00||16|Issue on Hold|803
56|1|2023-07-09 12:12:00|2023-07-20 22:12:00|6|Enterprise Input/Action|11
56|2|2023-07-20 22:12:00|2023-07-25 06:12:00|18|Informatics Analysis|4
56|3|2023-07-25 06:12:00||29|Pending Implementation|372
57|1|2024-02-08 10:20:00|2024-03-23 12:20:00|1|Informatics Analysis|44
57|2|2024-03-23 12:20:00||6|Resolved/Completed|130
58|1|2023-01-19 11:31:00|2023-02-15 23:31:00|3|Monitored|27
58|2|2023-02-15 23:31:00||8|Pending Pre-Closure|532
59|1|2024-06-13 09:30:00|2024-07-15 10:30:00|6|Coordination Team Intake|32
59|2|2024-07-15 10:30:00||9|Pending Pre-Closure|16
60|1|2023-03-18 08:29:00|2023-04-29 16:29:00|4|Duplicate/Related To|42
60|2|2023-04-29 16:29:00|2023-05-06 23:29:00|8|Resolved - Action to Enterprise to Validate|7
60|3|2023-05-06 23:29:00|2023-06-06 05:29:00|20|Non Coordination Team Issue|30
60|4|2023-06-06 05:29:00||26|Intake Pending|421
61|1|2024-04-04 15:18:00|2024-04-21 03:18:00|4|Issue on Hold|16
61|2|2024-04-21 03:18:00|2024-05-13 11:18:00|10|Resolved/Completed|22
61|3|2024-05-13 11:18:00||19|To Solutioning|79
62|1|2023-03-03 16:36:00|2023-03-29 22:36:00|5|Archived|26
62|2|2023-03-29 22:36:00||7|Closed|490
64|1|2023-04-11 09:03:00||5|Pending Coordination Team Closure|477
65|1|2023-07-07 14:52:00|2023-08-08 22:52:00|7|Monitored|32
65|2|2023-08-08 22:52:00|2023-09-05 04:52:00|17|Informatics Analysis|27
65|3|2023-09-05 04:52:00||18|Transfer - Action to Enterprise|330
66|1|2024-07-11 15:05:00||6|To Solutioning|20
67|1|2024-03-22 11:36:00||3|Archived|131
68|1|2022-05-07 10:01:00|2022-05-28 18:01:00|4|Duplicate/Related To|21
68|2|2022-05-28 18:01:00||9|Deleted/Error|795
69|1|2023-09-02 11:37:00|2023-09-23 21:37:00|6|Issue Engagement|21
69|2|2023-09-23 21:37:00||12|Pending Implementation|312
70|1|2022-06-06 13:23:00|2022-06-12 15:23:00|5|Council|6
70|2|2022-06-12 15:23:00||11|Solution Implementation|780
71|1|2022-11-16 09:27:00|2022-12-10 21:27:00|5|Issue Engagement|24
71|2|2022-12-10 21:27:00||8|Pending Closure|599
72|1|2023-11-14 15:08:00|2023-12-25 16:08:00|3|Sent to Region Hub|41
72|2|2023-12-25 16:08:00||15|Open|219
73|1|2022-12-05 12:58:00|2023-01-14 21:58:00|6|Duplicate/Related To|40
73|2|2023-01-14 21:58:00|2023-01-20 08:58:00|14|Closed|5
73|3|2023-01-20 08:58:00|2023-03-05 10:58:00|16|Non Coordination Team Issue|44
73|4|2023-03-05 10:58:00||17|Pending Implementation|514
74|1|2024-06-14 10:36:00|2024-06-28 22:36:00|1|Active Management|14
74|2|2024-06-28 22:36:00|2024-07-31 23:59:59|4|Non Coordination Team Issue|33
74|3|2024-07-31 23:59:59||14|Deleted/Error|0
75|1|2022-11-24 13:41:00|2022-12-18 22:41:00|2|Monitored|24
75|2|2022-12-18 22:41:00|2023-01-14 09:41:00|8|Monitored|26
75|3|2023-01-14 09:41:00|2023-02-01 10:41:00|12|Archived|18
75|4|2023-02-01 10:41:00||14|Pending Acceptance|546
76|1|2023-09-06 09:39:00|2023-09-12 17:39:00|1|Pending Closure|6
76|2|2023-09-12 17:39:00|2023-10-05 03:39:00|8|Transfer - Action to Enterprise|22
76|3|2023-10-05 03:39:00||17|Coordinating with Other (Described in Exec Sum)|300
77|1|2024-04-23 12:24:00|2024-04-28 16:24:00|3|Council|5
77|2|2024-04-28 16:24:00||5|Special Project|94
78|1|2023-10-23 15:36:00|2023-10-31 15:36:00|6|Monitored|8
78|2|2023-10-31 15:36:00|2023-11-28 00:36:00|17|Sent to Region Hub|27
78|3|2023-11-28 00:36:00||24|Council|246
79|1|2023-09-08 12:44:00|2023-10-03 15:44:00|4|Closed|25
79|2|2023-10-03 15:44:00||9|Non Coordination Team Issue|302
80|1|2022-07-20 12:59:00|2022-08-02 21:59:00|7|Informatics Analysis|13
80|2|2022-08-02 21:59:00|2022-08-14 06:59:00|16|Non Coordination Team Issue|11
80|3|2022-08-14 06:59:00||26|Special Project|717
81|1|2022-06-05 12:46:00||7|Pending Closure|787
82|1|2024-07-27 13:45:00|2024-07-31 23:59:59|5|Non Coordination Team Issue|4
82|2|2024-07-31 23:59:59||10|Pending Closure|0
83|1|2023-02-16 11:27:00|2023-02-19 11:27:00|6|Issue on Hold|3
83|2|2023-02-19 11:27:00|2023-03-03 14:27:00|10|Resolved - Action to Enterprise to Validate|12
83|3|2023-03-03 14:27:00||13|Non Coordination Team Issue|516
84|1|2023-10-15 10:22:00|2023-11-26 21:22:00|1|Pending Closure|42
84|2|2023-11-26 21:22:00||9|System Integration Office Input/Action|248
85|1|2023-05-22 15:46:00|2023-06-12 00:46:00|1|Closed|20
85|2|2023-06-12 00:46:00||8|Pending Acceptance|415
86|1|2024-01-25 15:37:00|2024-02-13 02:37:00|5|Transfer - Action to Enterprise|18
