Id|Array ID|Date In|Date Out|Version Label|Status|Days in Step|Days in Step + Status
7|1|2022-12-23 16:31:00|2023-02-05 18:31:00|8|Duplicate/Related To|44|44 - Duplicate/Related To
7|2|2023-02-05 18:31:00|2023-02-22 21:31:00|12|Monitored|17|17 - Monitored
7|3|2023-02-22 21:31:00||18|Pending Closure|525|525 - Pending Closure
8|1|2024-01-15 10:10:00|2024-01-21 11:10:00|5|Active Management|6|6 - Active Management
8|2|2024-01-21 11:10:00||16|Closed|192|192 - Closed
9|1|2022-08-12 16:48:00|2022-08-19 01:48:00|7|Closed|6|6 - Closed
9|2|2022-08-19 01:48:00||14|Pending Closure|712|712 - Pending Closure
10|1|2024-03-18 13:16:00|2024-03-20 18:16:00|2|Closed|2|2 - Closed
10|2|2024-03-20 18:16:00|2024-03-21 18:16:00|3|Monitored|1|1 - Monitored
10|3|2024-03-21 18:16:00||14|Intake|132|132 - Intake
11|1|2024-05-17 11:15:00||4|Deleted/Error|75|75 - Deleted/Error
12|1|2022-08-14 16:31:00|2022-09-17 19:31:00|4|Duplicate/Related To|34|34 - Duplicate/Related To
12|2|2022-09-17 19:31:00|2022-09-25 05:31:00|6|Active Management|7|7 - Active Management
12|3|2022-09-25 05:31:00||8|Monitored|675|675 - Monitored
14|1|2023-07-17 14:38:00|2023-07-31 01:38:00|5|Monitored|13|13 - Monitored
14|2|2023-07-31 01:38:00|2023-08-26 06:38:00|6|Duplicate/Related To|26|26 - Duplicate/Related To
14|3|2023-08-26 06:38:00|2023-09-18 09:38:00|14|Active Management|23|23 - Active Management
14|4|2023-09-18 09:38:00||23|Pending Closure|317|317 - Pending Closure
15|1|2024-04-17 11:42:00|2024-05-20 12:42:00|3|Monitored|33|33 - Monitored
15|2|2024-05-20 12:42:00||8|Pending Closure|72|72 - Pending Closure
16|1|2022-12-20 14:13:00|2023-01-26 18:13:00|8|Intake|37|37 - Intake
16|2|2023-01-26 18:13:00|2023-03-03 19:13:00|10|Pending Closure|36|36 - Pending Closure
16|3|2023-03-03 19:13:00|2023-04-15 01:13:00|19|Duplicate/Related To|42|42 - Duplicate/Related To
16|4|2023-04-15 01:13:00||22|Monitored|473|473 - Monitored
17|1|2024-01-15 14:18:00|2024-02-26 17:18:00|4|Active Management|42|42 - Active Management
17|2|2024-02-26 17:18:00|2024-03-17 18:18:00|12|Intake|20|20 - Intake
17|3|2024-03-17 18:18:00||23|Deleted/Error|136|136 - Deleted/Error
18|1|2023-05-03 11:39:00||7|Closed|455|455 - Closed
19|1|2024-01-07 10:21:00|2024-01-30 15:21:00|1|Monitored|23|23 - Monitored
19|2|2024-01-30 15:21:00||2|Closed|183|183 - Closed
20|1|2022-06-11 13:05:00|2022-06-24 17:05:00|8|Issue Engagement|13|13 - Issue Engagement
20|2|2022-06-24 17:05:00|2022-07-21 19:05:00|17|Monitored|27|27 - Monitored
20|3|2022-07-21 19:05:00||21|Pending Closure|741|741 - Pending Closure
21|1|2023-07-30 10:23:00||8|Pending Closure|367|367 - Pending Closure
22|1|2023-05-17 09:46:00|2023-06-04 19:46:00|3|Closed|18|18 - Closed
22|2|2023-06-04 19:46:00|2023-06-09 06:46:00|10|Duplicate/Related To|4|4 - Duplicate/Related To
22|3|2023-06-09 06:46:00|2023-07-23 13:46:00|11|Closed|44|44 - Closed
22|4|2023-07-23 13:46:00||12|Issue Engagement|374|374 - Issue Engagement
23|1|2023-01-13 14:16:00|2023-01-19 22:16:00|6|Duplicate/Related To|6|6 - Duplicate/Related To
23|2|2023-01-19 22:16:00|2023-01-23 23:16:00|8|Issue Engagement|4|4 - Issue Engagement
23|3|2023-01-23 23:16:00|2023-01-25 05:16:00|16|Intake|1|1 - Intake
23|4|2023-01-25 05:16:00||18|Active Management|553|553 - Active Management
25|1|2023-02-22 13:30:00|2023-02-23 15:30:00|7|Issue Engagement|1|1 - Issue Engagement
25|2|2023-02-23 15:30:00||16|Intake|524|524 - Intake
26|1|2022-09-18 16:34:00|2022-10-02 21:34:00|8|Active Management|14|14 - Active Management
26|2|2022-10-02 21:34:00|2022-10-10 23:34:00|9|Issue Engagement|8|8 - Issue Engagement
26|3|2022-10-10 23:34:00||16|Closed|660|660 - Closed
27|1|2023-03-04 12:41:00|2023-03-27 17:41:00|6|Active Management|23|23 - Active Management
27|2|2023-03-27 17:41:00|2023-04-18 19:41:00|18|Intake|22|22 - Intake
27|3|2023-04-18 19:41:00||20|Issue Engagement|470|470 - Issue Engagement
28|1|2023-07-22 12:13:00|2023-09-03 23:13:00|2|Active Management|43|43 - Active Management
28|2|2023-09-03 23:13:00|2023-09-24 04:13:00|9|Closed|20|20 - Closed
28|3|2023-09-24 04:13:00||21|Issue Engagement|311|311 - Issue Engagement
29|1|2023-01-07 16:33:00|2023-01-27 02:33:00|8|Pending Closure|19|19 - Pending Closure
29|2|2023-01-27 02:33:00|2023-02-13 02:33:00|17|Active Management|17|17 - Active Management
29|3|2023-02-13 02:33:00|2023-02-26 06:33:00|19|Closed|13|13 - Closed
29|4|2023-02-26 06:33:00||29|Issue Engagement|521|521 - Issue Engagement
30|1|2022-09-12 11:40:00|2022-10-27 21:40:00|1|Active Management|45|45 - Active Management
30|2|2022-10-27 21:40:00||10|Pending Closure|643|643 - Pending Closure
31|1|2022-10-28 14:38:00|2022-11-25 22:38:00|2|Monitored|28|28 - Monitored
31|2|2022-11-25 22:38:00|2023-01-05 03:38:00|11|Intake|40|40 - Intake
31|3|2023-01-05 03:38:00||21|Closed|573|573 - Closed
32|1|2024-07-06 11:10:00|2024-07-31 23:59:59|5|Closed|25|25 - Closed
32|2|2024-07-31 23:59:59||8|Deleted/Error|0|0 - Deleted/Error
33|1|2022-08-04 16:57:00||1|Intake|727|727 - Intake
34|1|2024-02-03 11:10:00|2024-02-22 18:10:00|1|Issue Engagement|19|19 - Issue Engagement
34|2|2024-02-22 18:10:00||11|Active Management|160|160 - Active Management
35|1|2023-05-20 13:14:00|2023-07-04 18:14:00|1|Active Management|45|45 - Active Management
35|2|2023-07-04 18:14:00|2023-07-05 19:14:00|2|Deleted/Error|1|1 - Deleted/Error
35|3|2023-07-05 19:14:00||9|Closed|392|392 - Closed
36|1|2024-01-22 14:21:00|2024-02-01 23:21:00|6|Issue Engagement|10|10 - Issue Engagement
36|2|2024-02-01 23:21:00|2024-02-15 09:21:00|7|Pending Closure|13|13 - Pending Closure
36|3|2024-02-15 09:21:00||14|Intake|167|167 - Intake
37|1|2023-07-15 16:09:00|2023-08-21 23:09:00|4|Issue Engagement|37|37 - Issue Engagement
37|2|2023-08-21 23:09:00|2023-08-23 07:09:00|6|Issue Engagement|1|1 - Issue Engagement
37|3|2023-08-23 07:09:00||15|Monitored|343|343 - Monitored
38|1|2022-08-20 11:23:00||3|Deleted/Error|711|711 - Deleted/Error
39|1|2023-04-19 09:35:00|2023-04-23 10:35:00|3|Deleted/Error|4|4 - Deleted/Error
39|2|2023-04-23 10:35:00||11|Active Management|465|465 - Active Management
40|1|2024-07-05 13:08:00||8|Pending Closure|26|26 - Pending Closure
41|1|2022-06-10 09:36:00||6|Pending Closure|782|782 - Pending Closure
42|1|2024-07-29 12:14:00|2024-07-31 23:59:59|6|Duplicate/Related To|2|2 - Duplicate/Related To
42|2|2024-07-31 23:59:59||9|Deleted/Error|0|0 - Deleted/Error
43|1|2024-05-03 14:08:00|2024-05-08 00:08:00|6|Intake|4|4 - Intake
43|2|2024-05-08 00:08:00||11|Pending Closure|84|84 - Pending Closure
44|1|2024-04-22 09:42:00|2024-04-24 09:42:00|2|Intake|2|2 - Intake
44|2|2024-04-24 09:42:00|2024-05-16 20:42:00|11|Intake|22|22 - Intake
44|3|2024-05-16 20:42:00||13|Pending Closure|76|76 - Pending Closure
45|1|2024-02-09 11:43:00|2024-02-13 17:43:00|6|Closed|4|4 - Closed
45|2|2024-02-13 17:43:00|2024-03-16 19:43:00|9|Closed|32|32 - Closed
45|3|2024-03-16 19:43:00||14|Duplicate/Related To|137|137 - Duplicate/Related To
46|1|2022-11-25 14:03:00|2023-01-08 21:03:00|4|Active Management|44|44 - Active Management
46|2|2023-01-08 21:03:00|2023-01-17 07:03:00|5|Closed|8|8 - Closed
46|3|2023-01-17 07:03:00|2023-02-28 16:03:00|11|Duplicate/Related To|42|42 - Duplicate/Related To
46|4|2023-02-28 16:03:00||15|Issue Engagement|519|519 - Issue Engagement
47|1|2024-01-05 09:52:00|2024-01-25 14:52:00|1|Monitored|20|20 - Monitored
47|2|2024-01-25 14:52:00||8|Closed|188|188 - Closed
48|1|2023-12-27 08:35:00|2024-01-03 14:35:00|4|Active Management|7|7 - Active Management
48|2|2024-01-03 14:35:00||6|Issue Engagement|210|210 - Issue Engagement
49|1|2022-06-23 15:54:00|2022-08-07 02:54:00|4|Pending Closure|44|44 - Pending Closure
49|2|2022-08-07 02:54:00||11|Intake|724|724 - Intake
50|1|2022-07-31 10:23:00|2022-09-09 20:23:00|1|Active Management|40|40 - Active Management
50|2|2022-09-09 20:23:00|2022-09-15 02:23:00|13|Issue Engagement|5|5 - Issue Engagement
50|3|2022-09-15 02:23:00||21|Monitored|685|685 - Monitored
51|1|2023-07-29 13:51:00|2023-08-05 00:51:00|4|Active Management|6|6 - Active Management
51|2|2023-08-05 00:51:00|2023-08-23 01:51:00|5|Intake|18|18 - Intake
51|3|2023-08-23 01:51:00|2023-09-29 02:51:00|6|Closed|37|37 - Closed
51|4|2023-09-29 02:51:00||13|Issue Engagement|306|306 - Issue Engagement
52|1|2022-11-04 16:01:00||3|Monitored|635|635 - Monitored
53|1|2022-05-15 13:15:00|2022-06-07 17:15:00|2|Active Management|23|23 - Active Management
53|2|2022-06-07 17:15:00|2022-06-12 17:15:00|8|Deleted/Error|5|5 - Deleted/Error
53|3|2022-06-12 17:15:00||9|Intake|780|780 - Intake
54|1|2023-09-04 12:52:00|2023-09-18 22:52:00|7|Deleted/Error|14|14 - Deleted/Error
54|2|2023-09-18 22:52:00|2023-09-27 22:52:00|10|Pending Closure|9|9 - Pending Closure
54|3|2023-09-27 22:52:00||14|Intake|308|308 - Intake
55|1|2022-05-12 13:51:00|2022-06-15 01:51:00|3|Intake|33|33 - Intake
55|2|2022-06-15 01:51:00|2022-07-10 04:51:00|11|Closed|25|25 - Closed
55|3|2022-07-10 04:51:00||18|Duplicate/Related To|752|752 - Duplicate/Related To
56|1|2023-07-09 16:43:00|2023-07-23 17:43:00|8|Active Management|14|14 - Active Management
56|2|2023-07-23 17:43:00|2023-08-13 03:43:00|14|Closed|20|20 - Closed
56|3|2023-08-13 03:43:00|2023-08-14 09:43:00|24|Active Management|1|1 - Active Management
56|4|2023-08-14 09:43:00||36|Issue Engagement|352|352 - Issue Engagement
57|1|2024-02-08 13:55:00|2024-03-03 14:55:00|6|Pending Closure|24|24 - Pending Closure
57|2|2024-03-03 14:55:00||16|Active Management|150|150 - Active Management
58|1|2023-01-19 10:16:00|2023-01-28 22:16:00|6|Intake|9|9 - Intake
58|2|2023-01-28 22:16:00|2023-02-06 03:16:00|7|Monitored|8|8 - Monitored
58|3|2023-02-06 03:16:00||15|Active Management|541|541 - Active Management
59|1|2024-06-13 13:20:00|2024-06-18 13:20:00|3|Issue Engagement|5|5 - Issue Engagement
59|2|2024-06-18 13:20:00||10|Intake|43|43 - Intake
60|1|2023-03-18 13:47:00|2023-04-30 00:47:00|5|Issue Engagement|42|42 - Issue Engagement
60|2|2023-04-30 00:47:00|2023-06-13 06:47:00|7|Active Management|44|44 - Active Management
60|3|2023-06-13 06:47:00||10|Monitored|414|414 - Monitored
61|1|2024-04-04 11:23:00|2024-05-07 22:23:00|2|Monitored|33|33 - Monitored
61|2|2024-05-07 22:23:00||9|Duplicate/Related To|85|85 - Duplicate/Related To
62|1|2023-03-03 14:01:00||4|Monitored|516|516 - Monitored
